date,price
2014-01-06,2803.5448
2014-01-07,2807.442
2014-01-08,2811.9569
2014-01-09,2785.4204
2014-01-10,2756.0708
2014-01-13,2742.455
2014-01-14,2774.2796
2014-01-15,2775.5071
2014-01-16,2779.4239
2014-01-17,2740.1876
2014-01-20,2723.147
2014-01-21,2753.9997
2014-01-22,2825.6911
2014-01-23,2819.8851
2014-01-24,2843.9114
2014-01-27,2816.2081
2014-01-28,2818.2513
2014-01-29,2832.4097
2014-01-30,2804.4181
2014-02-07,2827.9309
2014-02-10,2901.9334
2014-02-11,2919.7604
2014-02-12,2933.9993
2014-02-13,2911.1674
2014-02-14,2939.7306
2014-02-17,2970.0808
2014-02-18,2942.038
2014-02-19,2966.3753
2014-02-20,2935.1242
2014-02-21,2908.3476
2014-02-24,2859.0706
2014-02-25,2778.2362
2014-02-26,2788.4541
2014-02-27,2769.4551
2014-02-28,2800.6005
2014-03-03,2827.4775
2014-03-04,2821.9839
2014-03-05,2799.0499
2014-03-06,2807.0023
2014-03-07,2798.1163
2014-03-10,2702.7901
2014-03-11,2713.6489
2014-03-12,2718.9921
2014-03-13,2751.4223
2014-03-14,2731.642
2014-03-17,2765.7478
2014-03-18,2765.5501
2014-03-19,2747.9226
2014-03-20,2696.0243
2014-03-21,2777.4813
2014-03-24,2800.5145
2014-03-25,2799.5977
2014-03-26,2798.4968
2014-03-27,2773.1977
2014-03-28,2754.2213
2014-03-31,2744.1351
2014-04-01,2771.3151
2014-04-02,2788.1272
2014-04-03,2772.4382
2014-04-04,2799.8657
2014-04-08,2856.2263
2014-04-09,2864.708
2014-04-10,2901.2465
2014-04-11,2894.9188
2014-04-14,2899.0103
2014-04-15,2856.9614
2014-04-16,2859.5727
2014-04-17,2851.4476
2014-04-18,2853.9695
2014-04-21,2806.8953
2014-04-22,2812.171
2014-04-23,2806.7635
2014-04-24,2794.6554
2014-04-25,2757.1901
2014-04-28,2703.9086
2014-04-29,2736.4642
2014-04-30,2742.7106
2014-05-05,2747.0611
2014-05-06,2751.8606
2014-05-07,2719.9867
2014-05-08,2721.221
2014-05-09,2712.3032
2014-05-12,2774.2462
2014-05-13,2768.3377
2014-05-14,2765.9162
2014-05-15,2725.733
2014-05-16,2726.9086
2014-05-19,2694.5973
2014-05-20,2697.2868
2014-05-21,2722.6118
2014-05-22,2718.5827
2014-05-23,2743.8432
2014-05-26,2759.3701
2014-05-27,2749.7443
2014-05-28,2779.0676
2014-05-29,2758.0856
2014-05-30,2760.8995
2014-06-03,2753.9244
2014-06-04,2727.2789
2014-06-05,2756.9623
2014-06-06,2741.2452
2014-06-09,2736.9391
2014-06-10,2770.5254
2014-06-11,2773.6398
2014-06-12,2765.9044
2014-06-13,2796.0695
2014-06-16,2816.1554
2014-06-17,2790.5043
2014-06-18,2778.8401
2014-06-19,2728.1089
2014-06-20,2746.3969
2014-06-23,2750.3103
2014-06-24,2768.2945
2014-06-25,2754.6819
2014-06-26,2779.5069
2014-06-27,2787.7299
2014-06-30,2809.2141
2014-07-01,2814.6052
2014-07-02,2826.5591
2014-07-03,2845.2516
2014-07-04,2841.834
2014-07-07,2841.8159
2014-07-08,2850.8164
2014-07-09,2810.7459
2014-07-10,2807.7505
2014-07-11,2829.0384
2014-07-14,2864.8756
2014-07-15,2868.6681
2014-07-16,2859.3888
2014-07-17,2842.6232
2014-07-18,2855.0585
2014-07-21,2854.7103
2014-07-22,2890.519
2014-07-23,2890.2788
2014-07-24,2927.1173
2014-07-25,2957.1604
2014-07-28,3033.2654
2014-07-29,3048.6453
2014-07-30,3043.0135
2014-07-31,3078.5707
2014-08-01,3049.5267
2014-08-04,3107.0658
2014-08-05,3105.5125
2014-08-06,3105.5808
2014-08-07,3063.1607
2014-08-08,3072.6661
2014-08-11,3118.1707
2014-08-12,3114.8688
2014-08-13,3117.1443
2014-08-14,3089.7026
2014-08-15,3123.799
2014-08-18,3149.0174
2014-08-19,3152.0507
2014-08-20,3144.3209
2014-08-21,3132.6826
2014-08-22,3148.5403
2014-08-25,3120.2693
2014-08-26,3086.6317
2014-08-27,3092.7448
2014-08-28,3069.3255
2014-08-29,3104.2535
2014-09-01,3136.2925
2014-09-02,3179.5714
2014-09-03,3207.2985
2014-09-04,3231.6567
2014-09-05,3257.2475
2014-09-09,3260.4354
2014-09-10,3249.9161
2014-09-11,3240.394
2014-09-12,3265.4159
2014-09-15,3274.3899
2014-09-16,3196.0838
2014-09-17,3216.093
2014-09-18,3229.6361
2014-09-19,3253.5518
2014-09-22,3196.6982
2014-09-23,3228.2299
