date,ref_regime,log_return,w_held
2021-07-12,bull,0.0131430964592189,1.0
2021-07-13,bull,0.0043142263944019,1.0
2021-07-14,bull,-0.0108749642512931,1.0
2021-07-15,bull,0.0116294349961636,1.0
2021-07-16,bull,-0.0081022670570913,1.0
2021-07-19,bull,0.0017008080175392,1.0
2021-07-20,bull,-0.0001949604797582,1.0
2021-07-21,bull,0.0083707418989579,1.0
2021-07-22,bull,0.0026251007758672,1.0
2021-07-23,bull,-0.0105706052916189,1.0
2021-07-26,bull,-0.0290598196485757,0.0
2021-07-27,bull,-0.0326116851136699,0.0
2021-07-28,bull,-0.0018537023611793,0.0
2021-07-29,bull,0.019328229740075,0.0
2021-07-30,bull,-0.0056067862900381,0.0
2021-08-02,bear,0.0228585955059532,0.0
2021-08-03,bear,-0.0018009653113288,0.0
2021-08-04,bear,0.0108338023641891,1.0
2021-08-05,bear,-0.0052885985867752,0.0
2021-08-06,bear,-0.0031285274633645,0.0
2021-08-09,bear,0.0112621124457556,1.0
2021-08-10,bear,0.0101377163791944,1.0
2021-08-11,bear,-0.0024092629040623,1.0
2021-08-12,bear,-0.0056602436250434,1.0
2021-08-13,bear,-0.00430911961008,1.0
2021-08-16,bear,-0.0017915525068786,1.0
2021-08-17,bear,-0.0215253001252224,0.0
2021-08-18,bear,0.0105429156474198,0.0
2021-08-19,bear,-0.00477924878187,0.0
2021-08-20,bear,-0.0152760143045764,0.0
2021-08-23,bull,0.0147220293894939,0.0
2021-08-24,bull,0.0104634238919405,0.0
2021-08-25,bull,0.0039917395199075,0.0
2021-08-26,bull,-0.0161972582729997,0.0
2021-08-27,bull,0.0061449501421213,0.0
2021-08-30,bull,-0.0005418890083593,0.0
2021-08-31,bull,-0.000217455209459,0.0
2021-09-01,bull,0.0077997311698628,0.0
2021-09-02,bull,0.0038723747276298,0.0
2021-09-03,bull,-0.0050426732305375,0.0
2021-09-06,bull,0.0165484647871585,1.0
2021-09-07,bull,0.0137474062597447,1.0
2021-09-08,bull,-0.0016189549273719,1.0
2021-09-09,bull,0.0021174457471633,1.0
2021-09-10,bull,0.0061999232895183,1.0
2021-09-13,bull,-0.0019133262001714,1.0
2021-09-14,bull,-0.0142984603975126,1.0
2021-09-15,bull,-0.0063924647513012,1.0
2021-09-16,bull,-0.0141153719190433,0.0
2021-09-17,bull,0.0058321773868358,0.0
2021-09-22,sideways,-0.0032922682201516,0.0
2021-09-23,sideways,0.0065182525758078,0.0
2021-09-24,sideways,-0.0047447470533174,0.0
2021-09-27,sideways,-0.002822509047861,0.0
2021-09-28,sideways,0.0019784737095747,0.0
2021-09-29,sideways,-0.0142352221745546,0.0
2021-09-30,sideways,0.008282343295086,0.0
2021-10-08,sideways,0.0094111226633,0.0
2021-10-11,sideways,0.0009323008536812,0.0
2021-10-12,sideways,-0.012830585488671,0.0
2021-10-13,sideways,0.0097303373644132,0.0
2021-10-14,sideways,-0.0031804886819838,0.0
2021-10-15,sideways,0.0035121170318015,0.0
2021-10-18,sideways,-0.0073631736430522,0.0
2021-10-19,sideways,0.0092010803091554,0.0
2021-10-20,sideways,-0.0019857180853883,0.0
2021-10-21,sideways,0.0020610966721911,0.0
2021-10-22,sideways,0.0025347989273366,0.0
2021-10-25,sideways,0.0060227141957684,1.0
2021-10-26,sideways,-0.0025633262365525,0.0
2021-10-27,sideways,-0.0118292385727231,0.0
2021-10-28,sideways,-0.0086748965511483,0.0
2021-10-29,sideways,0.0094231888975559,0.0
2021-11-01,sideways,-0.0014899609077162,0.0
2021-11-02,sideways,-0.0105278677316331,0.0
2021-11-03,sideways,-0.0017992018589527,0.0
2021-11-04,sideways,0.0093722489383439,0.0
2021-11-05,sideways,-0.0069457147857906,0.0
2021-11-08,sideways,0.0021253335123599,0.0
2021-11-09,sideways,0.0016869013796229,0.0
2021-11-10,sideways,-0.0046648647411245,0.0
2021-11-11,sideways,0.0140285191833434,0.0
2021-11-12,sideways,-0.0003311681154515,0.0
2021-11-15,sideways,-0.0029278530370439,0.0
2021-11-16,sideways,-0.0016476514955897,0.0
2021-11-17,sideways,0.0024227395118322,0.0
2021-11-18,sideways,-0.0081598064442552,0.0
2021-11-19,sideways,0.0110798144140132,0.0
2021-11-22,sideways,0.0063404984784633,1.0
2021-11-23,sideways,0.0004193616630554,1.0
2021-11-24,sideways,0.0003292653039868,1.0
2021-11-25,sideways,-0.0038174846506685,0.0
2021-11-26,sideways,-0.006057347768556,0.0
2021-11-29,sideways,-0.0012789349449013,0.0
2021-11-30,sideways,-0.0019511439047935,0.0
2021-12-01,sideways,0.0025242402990998,0.0
2021-12-02,sideways,0.0004383906657387,0.0
2021-12-03,sideways,0.0093690649097881,1.0
2021-12-06,sideways,-0.0033812169940687,0.0
2021-12-07,sideways,0.0033874439906054,1.0
2021-12-08,sideways,0.0144935562655203,1.0
2021-12-09,sideways,0.0130135483813448,1.0
2021-12-10,sideways,-0.0039786646695744,1.0
2021-12-13,sideways,0.0058152982409234,1.0
2021-12-14,sideways,-0.006075164273485,1.0
2021-12-15,sideways,-0.006975096617214,1.0
2021-12-16,sideways,0.0065349697152944,1.0
2021-12-17,sideways,-0.0143522807789107,1.0
2021-12-20,sideways,-0.0154107351204217,0.0
2021-12-21,sideways,0.0077642414462211,1.0
2021-12-22,sideways,0.0010470657049464,1.0
2021-12-23,sideways,0.0064224266776844,1.0
2021-12-24,sideways,-0.0061366650483203,1.0
2021-12-27,sideways,-0.0005100302249678,1.0
2021-12-28,sideways,0.0060855018988938,1.0
2021-12-29,sideways,-0.0124691657158164,1.0
2021-12-30,sideways,0.0079789222338314,1.0
2021-12-31,sideways,0.004493311361918,1.0
2022-01-04,sideways,-0.0036433284914632,1.0
