regime,age,hazard_negbinom,hazard_geometric,remaining_negbinom,remaining_geometric
bull,34,0.005102121563321793,0.0056275470190534655,169.97474880285594,177.67013494108792
bull,35,0.005121049364411474,0.005627547500127113,169.84453103053863,177.66998119963554
bull,36,0.0051393783906102325,0.0056275479839233864,169.71676972941015,177.66982667454192
bull,37,0.005157141254635721,0.0056275484704576976,169.5913764131408,177.66967136186108
bull,38,0.005174368017430708,0.005627548959745541,169.46826759696393,177.66951525762764
bull,39,0.00519108644764311,0.005627549451802503,169.3473644052722,177.66935835785648
bull,40,0.005207322248849326,0.005627549946644254,169.22859221867398,177.6692006585428
bull,41,0.005223099259229794,0.005627550444286556,169.11188035568674,177.66904215566183
bull,42,0.005238439627620875,0.005627550944745257,168.99716178493642,177.66888284516904
bull,43,0.005253363969228461,0.005627551448036299,168.8843728643075,177.66872272299958
bull,44,0.005267891503766692,0.005627551954175712,168.7734531039753,177.66856178506876
bull,45,0.005282040178355437,0.005627552463179617,168.66434495066065,177.6684000272714
bull,46,0.005295826777156142,0.005627552975064225,168.5569935907957,177.66823744548213
bull,47,0.005309267019430885,0.005627553489845839,168.4513467705835,177.6680740355551
bull,48,0.00532237564746477,0.0056275540075408585,168.34735463118767,177.6679097933239
bull,49,0.0053351665055863225,0.005627554528165768,168.24496955750425,177.66774471460155
bull,50,0.0053476526113483405,0.005627555051737156,168.14414603915347,177.66757879518028
bull,51,0.005359846219786224,0.005627555578271691,168.0448405424897,177.66741203083146
bull,52,0.005371758881547862,0.0056275561077861495,167.94701139256713,177.66724441730562
bull,53,0.0053834014955846795,0.005627556640297395,167.8506186641184,177.66707595033213
bull,54,0.005394784357004291,0.005627557175822388,167.7556240807085,177.6669066256193
bull,55,0.005405917200609219,0.005627557714378183,167.66199092131842,177.66673643885417
bull,56,0.005416809240580921,0.005627558255981937,167.5696839336917,177.66656538570243
bull,57,0.005427469206712034,0.005627558800650901,167.47866925384804,177.66639346180835
bull,58,0.0054379053775415725,0.005627559348402421,167.38891433123067,177.6662206627946
bull,59,0.005448125610705794,0.005627559899253945,167.30038785900635,177.66604698426218
bull,60,0.00545813737078121,0.005627560453223017,167.21305970908716,177.66587242179043
bull,61,0.005467947754864633,0.005627561010327279,167.12690087148488,177.6656969709367
bull,62,0.005477563516107728,0.0056275615705844795,167.04188339764576,177.6655206272364
bull,63,0.005486991085399398,0.005627562134012461,166.95798034744854,177.66534338620292
bull,64,0.00549623659136836,0.005627562700629169,166.87516573957706,177.6651652433274
bull,65,0.00550530587885987,0.005627563270452652,166.79341450500658,177.66498619407866
bull,66,0.0055142045260242155,0.005627563843501058,166.71270244336552,177.66480623390316
bull,67,0.005522937860140398,0.0056275644197926415,166.63300618195683,177.66462535822495
bull,68,0.00553151097228577,0.005627564999345755,166.55430313724187,177.66444356244514
bull,69,0.005539928730951159,0.00562756558217886,166.47657147860644,177.6642608419425
bull,70,0.0055481957946912405,0.00562756616831052,166.39979009424488,177.6640771920727
bull,71,0.005556316623891047,0.0056275667577594035,166.32393855901134,177.66389260816862
bull,72,0.005564295491721728,0.005627567350544285,166.2489971041009,177.66370708553984
bull,73,0.005572136494351575,0.005627567946684046,166.17494658843324,177.66352061947302
bull,74,0.005579843560472492,0.005627568546197674,166.10176847162273,177.6633332052314
bull,75,0.005587420460195941,0.005627569149104264,166.02944478842858,177.6631448380549
bull,76,0.005594870813367994,0.005627569755423018,165.957958124586,177.66295551315983
bull,77,0.005602198097348326,0.005627570365173252,165.88729159392776,177.6627652257389
bull,78,0.00560940565429412,0.005627570978374382,165.81742881671278,177.66257397096118
bull,79,0.005616496697986093,0.005627571595045943,165.7483538990836,177.66238174397174
bull,80,0.005623474320230885,0.005627572215207575,165.68005141358242,177.66218853989182
bull,81,0.005630341496870842,0.005627572838879031,165.61250638065823,177.66199435381847
bull,82,0.005637101093429744,0.005627573466080178,165.54570425110475,177.66179918082454
bull,83,0.005643755870420599,0.005627574096830991,165.47963088937163,177.66160301595858
bull,84,0.0056503084883394936,0.00562757473115156,165.41427255769685,177.66140585424478
bull,85,0.005656761512367468,0.00562757536906209,165.34961590101045,177.66120769068272
bull,86,0.005663117416800622,0.005627576010582898,165.28564793256453,177.6610085202472
bull,87,0.005669378589227121,0.0056275766557344195,165.22235602024742,177.6608083378884
bull,88,0.005675547334468204,0.005627577304537203,165.15972787354156,177.6606071385315
bull,89,0.005681625878298963,0.005627577957011911,165.09775153108956,177.66040491707668
bull,90,0.005687616370963536,0.00562757861317933,165.03641534883278,177.66020166839886
bull,91,0.005693520890498145,0.005627579273060358,164.97570798869108,177.65999738734786
bull,92,0.005699341445874395,0.005627579936676012,164.9156184077544,177.659792068748
bull,93,0.0057050799799744124,0.00562758060404743,164.85613584795655,177.65958570739804
bull,94,0.005710738372408458,0.00562758127519587,164.79724982620647,177.65937829807123
bull,95,0.0057163184421848935,0.005627581950142708,164.73895012495188,177.6591698355149
bull,96,0.005721821950241665,0.005627582628909443,164.68122678315248,177.6589603144506
bull,97,0.0057272506018478395,0.005627583311517692,164.62407008764055,177.65874972957386
bull,98,0.0057326060488830915,0.005627583997989201,164.56747056485,177.658538075554
bull,99,0.005737889892002475,0.005627584688345833,164.51141897289352,177.65832534703415
bull,100,0.005743103682693344,0.005627585382609579,164.45590629397108,177.65811153863092
bull,101,0.005748248925230768,0.00562758608080255,164.4009237270923,177.65789664493462
bull,102,0.0057533270785374135,0.0056275867829469845,164.34646268109728,177.65768066050873
bull,103,0.005758339557953392,0.005627587489065252,164.2925147679613,177.65746357989
bull,104,0.0057632877369212425,0.005627588199179837,164.23907179636862,177.65724539758818
bull,105,0.005768172948590889,0.005627588913313362,164.18612576554335,177.65702610808628
bull,106,0.005772996487349083,0.005627589631488573,164.133668859324,177.65680570583984
bull,107,0.0057777596102775025,0.0056275903537283435,164.08169344047025,177.65658418527724
bull,108,0.005782463538543483,0.005627591080055681,164.03019204519185,177.65636154079937
bull,109,0.005787109458727094,0.005627591810493718,163.9791573778875,177.6561377667796
bull,110,0.005791698524087927,0.005627592545065721,163.9285823060855,177.65591285756372
bull,111,0.00579623185577497,0.0056275932837950874,163.87845985557576,177.6556868074694
bull,112,0.005800710543982471,0.005627594026705348,163.82878320572505,177.65545961078664
bull,113,0.005805135649054728,0.005627594773820165,163.7795456849668,177.65523126177723
bull,114,0.005809508202542472,0.005627595525163337,163.7307407664579,177.65500175467471
bull,115,0.0058138292082133124,0.005627596280758794,163.6823620638943,177.6547710836843
bull,116,0.00581809964301866,0.0056275970406306055,163.6344033274795,177.6545392429827
bull,117,0.005822320458019343,0.005627597804802973,163.58685844003801,177.65430622671798
bull,118,0.005826492579271974,0.005627598573300238,163.53972141326864,177.6540720290094
bull,119,0.00583061690867807,0.005627599346146878,163.49298638413023,177.65383664394736
bull,120,0.005834694324797802,0.005627600123367511,163.44664761135542,177.65360006559317
bull,121,0.005838725683630044,0.005627600904986893,163.40069947208616,177.65336228797892
bull,122,0.00584271181936045,0.00562760169102992,163.35513645862625,177.65312330510747
bull,123,0.005846653545079097,0.005627602481521628,163.3099531753053,177.6528831109522
bull,124,0.005850551653469143,0.005627603276487199,163.26514433545097,177.65264169945667
bull,125,0.005854406917467867,0.005627604075951953,163.22070475846286,177.65239906453488
bull,126,0.005858220090901463,0.005627604879941352,163.17662936698613,177.65215520007087
bull,127,0.005861991909094786,0.005627605688481009,163.13291318417888,177.65191009991864
bull,128,0.005865723089457221,0.005627606501596678,163.08955133107077,177.6516637579021
bull,129,0.005869414332045796,0.005627607319314255,163.04653902400875,177.65141616781463
bull,130,0.00587306632010656,0.00562760814165979,163.00387157218634,177.65116732341932
bull,131,0.005876679720595249,0.005627608968659475,162.96154437525325,177.6509172184484
bull,132,0.005880255184678192,0.005627609800339652,162.9195529210024,177.6506658466036
bull,133,0.005883793348214287,0.005627610636726812,162.87789278313096,177.6504132015556
bull,134,0.005887294832218955,0.0056276114778475985,162.83655961907263,177.65015927694395
bull,135,0.005890760243310822,0.0056276123237287996,162.79554916789886,177.64990406637716
bull,136,0.005894190174141946,0.005627613174397362,162.75485724828556,177.6496475634322
bull,137,0.00589758520381225,0.005627614029880379,162.71447975654374,177.64938976165456
bull,138,0.0059009458982688945,0.0056276148902051045,162.6744126647109,177.64913065455818
bull,139,0.005904272810691185,0.005627615755398936,162.63465201870113,177.648870235625
bull,140,0.005907566481861712,0.005627616625489437,162.59519393651226,177.6486084983051
bull,141,0.005910827440524226,0.005627617500504321,162.5560346064871,177.64834543601646
bull,142,0.005914056203728874,0.005627618380471459,162.51717028562726,177.64808104214472
bull,143,0.005917253277165262,0.005627619265418882,162.47859729795783,177.6478153100431
bull,144,0.005920419155483929,0.005627620155374775,162.44031203294045,177.64754823303224
bull,145,0.00592355432260664,0.005627621050367489,162.40231094393366,177.6472798044
bull,146,0.005926659252025993,0.005627621950425532,162.3645905466987,177.64701001740139
bull,147,0.005929734407094798,0.005627622855577571,162.32714741794845,177.64673886525833
bull,148,0.005932780241305568,0.00562762376585244,162.28997819393936,177.64646634115954
bull,149,0.005935797198560608,0.005627624681279131,162.25307956910348,177.64619243826033
bull,150,0.005938785713433014,0.005627625601886807,162.21644829471998,177.6459171496826
sideways,1,0.00047906727058940696,0.01392405063292057,70.85212475220229,71.81818181684035
sideways,2,0.001011791255709848,0.013924050632920699,69.92287210276999,71.8181818168221
sideways,3,0.0015603352739063162,0.01392405063292083,69.03058295633508,71.81818181680357
sideways,4,0.0021104600067526394,0.013924050632920964,68.17446243278133,71.81818181678483
sideways,5,0.0026550563529146014,0.0139240506329211,67.35328921119121,71.8181818167658
sideways,6,0.003190160171690788,0.013924050632921238,66.56564427837098,71.81818181674653
sideways,7,0.003713467927935015,0.013924050632921377,65.81002770559222,71.81818181672699
sideways,8,0.00422364782392713,0.013924050632921518,65.08492350110816,71.81818181670718
sideways,9,0.004719974108801487,0.013924050632921662,64.38883714532994,71.8181818166871
sideways,10,0.00520211470484513,0.013924050632921809,63.72031754623461,71.81818181666677
sideways,11,0.005669999816912971,0.013924050632921956,63.07796962244511,71.81818181664613
